Date,Open,High,Low,Close,Adj Close
23-12-2020,0.075,0.08,0.075,0.075,0.075
22-12-2020,0.085,0.085,0.075,0.078,0.078
21-12-2020,0.08,0.08,0.075,0.078,0.078
18-12-2020,0.08,0.08,0.08,0.08,0.08
17-12-2020,0.075,0.083,0.075,0.08,0.08
16-12-2020,0.075,0.075,0.075,0.075,0.075
15-12-2020,0.07,0.07,0.07,0.07,0.07
14-12-2020,0.07,0.07,0.06,0.06,0.06
11-12-2020,0.065,0.068,0.065,0.065,0.065
10-12-2020,0.065,0.07,0.065,0.07,0.07
09-12-2020,0.07,0.07,0.07,0.07,0.07
08-12-2020,0.073,0.073,0.068,0.068,0.068
07-12-2020,0.075,0.078,0.07,0.07,0.07
04-12-2020,0.075,0.075,0.075,0.075,0.075
03-12-2020,0.075,0.075,0.075,0.075,0.075
02-12-2020,0.08,0.08,0.075,0.075,0.075
01-12-2020,0.08,0.083,0.08,0.08,0.08
30-11-2020,0.075,0.075,0.073,0.075,0.075
27-11-2020,0.083,0.085,0.073,0.073,0.073
25-11-2020,0.08,0.083,0.08,0.08,0.08
24-11-2020,0.085,0.085,0.08,0.08,0.08
23-11-2020,0.06,0.07,0.06,0.07,0.07
20-11-2020,0.058,0.06,0.058,0.058,0.058
19-11-2020,0.065,0.065,0.048,0.06,0.06
18-11-2020,0.08,0.083,0.075,0.075,0.075
17-11-2020,0.085,0.085,0.08,0.08,0.08
16-11-2020,0.085,0.085,0.075,0.075,0.075
13-11-2020,0.085,0.085,0.083,0.083,0.083
12-11-2020,0.085,0.088,0.083,0.085,0.085
11-11-2020,0.09,0.09,0.09,0.09,0.09
10-11-2020,0.095,0.095,0.09,0.09,0.09
09-11-2020,0.085,0.088,0.083,0.088,0.088
06-11-2020,0.085,0.085,0.08,0.083,0.083
05-11-2020,0.085,0.085,0.083,0.085,0.085
04-11-2020,0.088,0.088,0.083,0.083,0.083
03-11-2020,0.09,0.09,0.09,0.09,0.09
02-11-2020,0.083,0.083,0.08,0.083,0.083
30-10-2020,0.083,0.083,0.08,0.083,0.083
29-10-2020,0.083,0.085,0.083,0.083,0.083
28-10-2020,0.09,0.09,0.09,0.09,0.09
27-10-2020,0.09,0.09,0.09,0.09,0.09
26-10-2020,0.083,0.088,0.08,0.08,0.08
23-10-2020,0.083,0.085,0.083,0.083,0.083
22-10-2020,0.083,0.085,0.083,0.085,0.085
21-10-2020,0.095,0.095,0.09,0.09,0.09
20-10-2020,0.095,0.095,0.095,0.095,0.095
19-10-2020,0.093,0.093,0.085,0.09,0.09
16-10-2020,0.095,0.095,0.09,0.09,0.09
15-10-2020,0.095,0.098,0.093,0.095,0.095
14-10-2020,0.1,0.1,0.1,0.1,0.1
13-10-2020,0.095,0.095,0.09,0.093,0.093
12-10-2020,0.09,0.09,0.09,0.09,0.09
09-10-2020,0.09,0.095,0.09,0.093,0.093
08-10-2020,0.09,0.09,0.088,0.088,0.088
07-10-2020,0.09,0.09,0.085,0.088,0.088
06-10-2020,0.088,0.09,0.085,0.088,0.088
05-10-2020,0.085,0.085,0.083,0.085,0.085
02-10-2020,0.085,0.085,0.085,0.085,0.085
01-10-2020,0.088,0.093,0.083,0.083,0.083
30-09-2020,0.085,0.093,0.085,0.085,0.085
29-09-2020,0.093,0.093,0.083,0.085,0.085
28-09-2020,0.093,0.093,0.088,0.088,0.088
25-09-2020,0.09,0.093,0.088,0.09,0.09
24-09-2020,0.088,0.093,0.088,0.093,0.093
23-09-2020,0.088,0.088,0.088,0.088,0.088
22-09-2020,0.09,0.09,0.088,0.088,0.088
21-09-2020,0.083,0.083,0.08,0.08,0.08
18-09-2020,0.083,0.083,0.078,0.083,0.083
17-09-2020,0.093,0.093,0.075,0.085,0.085
16-09-2020,0.098,0.1,0.098,0.1,0.1
15-09-2020,0.105,0.105,0.1,0.1,0.1
14-09-2020,0.1,0.103,0.098,0.1,0.1
11-09-2020,0.103,0.105,0.103,0.103,0.103
10-09-2020,0.103,0.108,0.103,0.103,0.103
09-09-2020,0.11,0.11,0.103,0.105,0.105
08-09-2020,0.103,0.108,0.103,0.108,0.108
04-09-2020,0.1,0.105,0.098,0.103,0.103
03-09-2020,0.098,0.103,0.098,0.1,0.1
02-09-2020,0.098,0.103,0.098,0.1,0.1
01-09-2020,0.1,0.1,0.1,0.1,0.1
31-08-2020,0.093,0.098,0.093,0.095,0.095
28-08-2020,0.095,0.095,0.095,0.095,0.095
27-08-2020,0.088,0.095,0.088,0.095,0.095
26-08-2020,0.095,0.095,0.093,0.093,0.093
25-08-2020,0.095,0.095,0.095,0.095,0.095
24-08-2020,0.088,0.088,0.085,0.085,0.085
21-08-2020,0.083,0.088,0.083,0.088,0.088
20-08-2020,0.085,0.088,0.083,0.088,0.088
19-08-2020,0.1,0.1,0.095,0.095,0.095
18-08-2020,0.1,0.1,0.1,0.1,0.1
17-08-2020,0.083,0.085,0.083,0.085,0.085
14-08-2020,0.09,0.09,0.088,0.088,0.088
13-08-2020,0.093,0.093,0.09,0.09,0.09
12-08-2020,0.1,0.1,0.1,0.1,0.1
11-08-2020,0.103,0.103,0.098,0.1,0.1
10-08-2020,0.088,0.093,0.088,0.088,0.088
07-08-2020,0.083,0.088,0.083,0.088,0.088
06-08-2020,0.093,0.093,0.085,0.088,0.088
05-08-2020,0.09,0.095,0.09,0.095,0.095
04-08-2020,0.093,0.093,0.09,0.09,0.09
03-08-2020,0.083,0.083,0.075,0.078,0.078
31-07-2020,0.083,0.085,0.083,0.083,0.083
30-07-2020,0.09,0.09,0.085,0.085,0.085
29-07-2020,0.098,0.098,0.09,0.09,0.09
28-07-2020,0.103,0.105,0.103,0.103,0.103
27-07-2020,0.098,0.098,0.09,0.093,0.093
